ticker,freq_per_bar,psd
AMZN,0.3203125,7.681548881524128e-05
AMZN,0.32421875,6.309228440207373e-05
AMZN,0.328125,6.566478517807146e-05
AMZN,0.33203125,7.315891223512451e-05
AMZN,0.3359375,5.930965429251197e-05
AMZN,0.33984375,6.740908718838358e-05
AMZN,0.34375,6.58065466730605e-05
AMZN,0.34765625,4.538462791906859e-05
AMZN,0.3515625,4.274691419223798e-05
AMZN,0.35546875,5.104039971939509e-05
AMZN,0.359375,4.0783337379182445e-05
AMZN,0.36328125,3.4001909914269984e-05
AMZN,0.3671875,3.735503701809189e-05
AMZN,0.37109375,5.7218660420113914e-05
AMZN,0.375,8.631805914580816e-05
AMZN,0.37890625,7.856678956800498e-05
AMZN,0.3828125,7.388973724073313e-05
AMZN,0.38671875,6.90136969737727e-05
AMZN,0.390625,7.67477907306336e-05
AMZN,0.39453125,8.344373220407449e-05
AMZN,0.3984375,7.063148421533422e-05
AMZN,0.40234375,6.130327866676035e-05
AMZN,0.40625,7.272526382035438e-05
AMZN,0.41015625,7.395672558653088e-05
AMZN,0.4140625,7.683177256623143e-05
AMZN,0.41796875,8.075397115384811e-05
AMZN,0.421875,8.674427824805803e-05
AMZN,0.42578125,0.00034078296033520635
AMZN,0.4296875,0.0004207986895957046
AMZN,0.43359375,0.00010424502816524324
AMZN,0.4375,7.515635243781504e-05
AMZN,0.44140625,5.670780165739005e-05
AMZN,0.4453125,6.569700221684242e-05
AMZN,0.44921875,7.930300842980474e-05
AMZN,0.453125,7.705220894661047e-05
AMZN,0.45703125,6.495317922892069e-05
AMZN,0.4609375,9.886792910444781e-05
AMZN,0.46484375,8.917299056152016e-05
AMZN,0.46875,6.879090532285223e-05
AMZN,0.47265625,5.60754536088534e-05
AMZN,0.4765625,5.796704414083208e-05
AMZN,0.48046875,6.810669987861364e-05
AMZN,0.484375,6.765479772886868e-05
AMZN,0.48828125,5.454008058930077e-05
AMZN,0.4921875,5.165152657116797e-05
AMZN,0.49609375,6.390758414099283e-05
AMZN,0.5,3.087568792521018e-05
AVGO,0.0,0.00017087409524168935
AVGO,0.00390625,0.0006798157514493132
AVGO,0.0078125,0.0007158030963291924
AVGO,0.01171875,0.0004224599202617317
AVGO,0.015625,0.00017717215538365656
AVGO,0.01953125,0.00019221679751491431
AVGO,0.0234375,0.00017942435276918842
AVGO,0.02734375,0.00015188383380256387
AVGO,0.03125,0.00019979479638475902
AVGO,0.03515625,0.00020366114412235885
AVGO,0.0390625,0.00017599757643816378
AVGO,0.04296875,0.00016444055387990629
AVGO,0.046875,0.00015572178957421105
AVGO,0.05078125,0.00014795161374342298
AVGO,0.0546875,0.00017751060453562889
AVGO,0.05859375,0.00014771809756524733
AVGO,0.0625,0.00013635614728334724
AVGO,0.06640625,0.00010805317608763008
AVGO,0.0703125,0.00012203517193448367
AVGO,0.07421875,0.00014835100886705815
AVGO,0.078125,0.00012736523226948752
AVGO,0.08203125,0.00012012184361198234
AVGO,0.0859375,0.00016450895799167436
AVGO,0.08984375,0.00014299946734547798
AVGO,0.09375,0.00014609252701970602
AVGO,0.09765625,0.00018503961942798743
AVGO,0.1015625,0.00019271684291372678
AVGO,0.10546875,0.00010509057019309311
AVGO,0.109375,0.00011593081476147592
AVGO,0.11328125,0.00014314256148058804
AVGO,0.1171875,0.0001872445360160221
AVGO,0.12109375,0.00016576788666529117
AVGO,0.125,0.00014667425946001715
AVGO,0.12890625,0.0001632957730968716
AVGO,0.1328125,0.00019191403892098073
AVGO,0.13671875,0.00035402363330865283
AVGO,0.140625,0.0010618757292589784
AVGO,0.14453125,0.0010811753035015485
AVGO,0.1484375,0.00042331084929395074
AVGO,0.15234375,0.00021945789597814955
AVGO,0.15625,0.00013865088825205812
AVGO,0.16015625,0.00011145788180619725
AVGO,0.1640625,0.0001247576095623612
AVGO,0.16796875,0.00014791601238065414
AVGO,0.171875,0.00012804862286136046
AVGO,0.17578125,0.00011357724230121144
AVGO,0.1796875,0.00010272698139623829
AVGO,0.18359375,0.00012017328308018001
AVGO,0.1875,0.0001488167370890662
AVGO,0.19140625,0.00017331997275146934
AVGO,0.1953125,0.00021254161227605983
AVGO,0.19921875,0.00020736033750463033
AVGO,0.203125,0.0001920548863245942
AVGO,0.20703125,0.00014787717495898857
AVGO,0.2109375,0.00016686821551185625
AVGO,0.21484375,0.0001671810723106494
AVGO,0.21875,0.00016358616341862007
AVGO,0.22265625,0.00015267553563629564
AVGO,0.2265625,0.00013690315364979643
AVGO,0.23046875,0.00013211898353815418
AVGO,0.234375,0.00012056633336660905
AVGO,0.23828125,0.00014531513866926176
AVGO,0.2421875,0.00016163304173231127
AVGO,0.24609375,0.00013386336804039895
AVGO,0.25,0.000162753193026622
AVGO,0.25390625,0.00019646873502405086
AVGO,0.2578125,0.00014098447332171432
AVGO,0.26171875,0.00014496436862944625
AVGO,0.265625,0.00017952872127572752
AVGO,0.26953125,0.0001487805481775682
AVGO,0.2734375,0.00017639525721638107
AVGO,0.27734375,0.00024512280773428323
AVGO,0.28125,0.00040228492367134225
AVGO,0.28515625,0.0013195566098148312
AVGO,0.2890625,0.000870558448926896
AVGO,0.29296875,0.0002513668765423803
AVGO,0.296875,0.00018476934191644217
AVGO,0.30078125,0.00014263816075904846
AVGO,0.3046875,0.00012067056144568359
AVGO,0.30859375,0.00013895063058525886
AVGO,0.3125,0.0001205377537735599
AVGO,0.31640625,0.000122482958614057
AVGO,0.3203125,0.00015863157870403335
AVGO,0.32421875,0.0001311040035384134
AVGO,0.328125,0.00013741850575619695
AVGO,0.33203125,0.00014373230660188178
AVGO,0.3359375,0.00012354553379519522
AVGO,0.33984375,0.00013660108128221309
AVGO,0.34375,0.0001447096379077595
AVGO,0.34765625,0.00015502045183890499
AVGO,0.3515625,0.00014572356463812123
AVGO,0.35546875,0.00012762225706986497
AVGO,0.359375,0.0001251371874897719
AVGO,0.36328125,0.0001405636951108468
AVGO,0.3671875,0.0001635447296675172
AVGO,0.37109375,0.00015229056215650323
AVGO,0.375,0.0001619176420715654
AVGO,0.37890625,0.00014254965554911118
AVGO,0.3828125,0.00010253496287441322
AVGO,0.38671875,0.00010018625906173802
AVGO,0.390625,0.00013107281932228732
AVGO,0.39453125,0.00013904322790636383
