ticker,H_dfa
FCF,0.49577654147445266
FCPT,0.36973632149165164
FELE,0.400187412362973
FFBC,0.4782768530903331
FIBK,0.47353758726543804
FIVN,0.46931253884148066
FIZZ,0.49341151345615164
FLO,0.454580596076287
FMC,0.46097182859744457
FORM,0.4510670688342761
FOXF,0.4833334411351972
FRPT,0.5311547695793335
FSS,0.4600704027369458
FUL,0.4649664630338076
FULT,0.46848198401624613
FUN,0.46417458832244035
GBX,0.49516062596659866
GEO,0.4804439458375476
GFF,0.4512380684305567
GIII,0.48179216977250244
GKOS,0.5161290342574465
GNL,0.4289909699897062
GNW,0.4786534859582679
GPI,0.46078800148637594
GRBK,0.47611448886692936
GT,0.4793427518758051
GTY,0.4576099394238128
GVA,0.4778688301939444
HAFC,0.5032040100097215
HASI,0.4533071394074213
HCI,0.5221824367170116
HCSG,0.435078551036861
HE,0.48818183184852587
HFWA,0.4726332775286057
HIW,0.4490441974716675
HLIT,0.48760705096311113
HLX,0.5050526250717668
HMN,0.45749185352991373
HNI,0.45761848550245376
HOPE,0.4999769054865343
HP,0.4953322688136309
HSTM,0.44420626836476107
HTH,0.48840195108213424
HTLD,0.4208251404301518
HTO,0.39134380105895045
HUBG,0.4048906920643538
HWKN,0.4293446327606383
HZO,0.44867989227105154
IART,0.45127889049566455
IBP,0.5054313156608711
ICUI,0.4770460539427806
INDB,0.45131083024701785
INDV,0.4111648870593416
INVA,0.45253966093358416
INVX,0.433084486300859
IOSP,0.4855233129387662
IPAR,0.4928831741784181
IRDM,0.4361483299231261
ITGR,0.4725836914979855
ITRI,0.45504005968087036
IVT,0.3885242175409187
JBLU,0.44708510681096914
JBSS,0.5146409148475127
JBTM,0.4495590697527323
JJSF,0.44050595263547193
JOE,0.5124334312996761
KAI,0.44706499186944265
KALU,0.45202904521167014
KFY,0.5179788643562552
KLIC,0.4500459338601493
KMPR,0.44597384100253074
KMT,0.46429050417811957
KMX,0.46799245770890524
KN,0.4582308036611146
KOP,0.5218844979335702
KSS,0.495328154781459
KWR,0.44484919035464265
LAZ,0.49009069597262955
LCII,0.4440635653393426
LEG,0.45418018699905055
LEU,0.47181144635816125
LGIH,0.48913319234039
LGND,0.48476835616517827
LKFN,0.43795749295252695
LKQ,0.44072677446283215
LMAT,0.4649310057595539
LNC,0.48472153555995223
LNN,0.4423406872782892
LPG,0.4935643737960548
LQDT,0.4926421179445709
LRN,0.4562196082610677
LTC,0.4259083160625644
LUMN,0.5814596544561366
LXP,0.44757637276389334
LZB,0.4460723124377835
MAC,0.5148002377469536
MAN,0.509461399859065
MARA,0.4951225547123155
MATW,0.49680653074508674
MATX,0.44975336101932706
MC,0.4905768652023499
MCRI,0.46604774408693417
MCY,0.4944544562362942
MD,0.5101054525902207
MDU,0.47949505520109836
MGEE,0.3887123746289045
MHK,0.48913294456015877
MHO,0.4894496608022204
MKTX,0.4857883843643783
MLKN,0.46441693718831834
MMI,0.5057635352719425
MMSI,0.4906811731686051
MPT,0.45952933778432337
MRCY,0.4735949368780265
MRTN,0.4229474451116994
MSEX,0.4055644432217589
